RUBRO;SUB_RUBRO;MARCA;MARCA_APERNET_ID;SUCURSAL;SUCURSAL_APERNET_ID;CALLE;NRO;LOCALIDAD;LATITUD;LONGITUD;LOCALIDAD_ZONAL;LOCALIDAD_ZONA
Mascotas;Mascotas;+Cota's;272;San Martín;1123;Av. 25 de Mayo;1926/28;GENERAL SAN MARTIN;-34,58479;-58,51725;SAN MARTIN / 3 DE FEBRERO;GBA Oeste
Gastronomía;Restaurantes;011 Vegan;12662;011 Vegan;23547;Arevalo;3018;BELGRANO;34,57103;58,43029;CABA NORTE;CABA
Gastronomía;Restaurantes;1161 RESTO;116018;1161 RESTO;126025;BAT DE SUIPACHA;2157;SANTA FE;-31,6473;-60,7091;INTERIOR;INTERIOR
Tienda Online;Servicios;123seguro;37220;123seguro - Palermo;52989;Dr. Emilio Ravignani;1470;PALERMO;-34,58368;-58,44387;CABA NORTE;CABA
Gastronomía;Restaurantes;1827 de Santiago;5030;Mar del Plata;12189;Santiago del Estero;1827;MAR DEL PLATA;-38,00097;-57,54665;INTERIOR;INTERIOR
Viajes y Turismo;Hoteles;2122 Hotel Art Design - Punta del Este;4266;Punta del Este;10758;Av. Pedragrosa Sierra y San Ciro;;PUNTA DEL ESTE;-34,94095;-54,92798;URUGUAY;MERCOSUR
Electro & Tecnología;Electro & Tecnología;@SELFIE;116251;@SELFIE;126260;PTE H YRIGOYEN;337;NEUQUEN;-38,95131;-68,06065;INTERIOR;INTERIOR
Gastronomía;Restaurantes;A La Casona del Nonno;1753;San Nicolás;4935;Lavalle;827;SAN NICOLAS;-34,60238;-58,37849;CABA SUR;CABA
Gastronomía;Panaderías;A mi manera Repostería Artesanal;5613;Villa Gesell;13593;Buenos aires;443;VILLA GESELL;-37,2505;-56,96681;INTERIOR;INTERIOR
Moda;Indumentaria Deportiva;A PLENO SOL;7902;A PLENO SOL;18521;Jauretche;1375;HURLINGHAM;-34,59117;-58,63431;MORON / ITUZAINGO / HURLINGHAM / MERLO;GBA Oeste
Hogar;Equipamiento;Abelson;1163;Floresta;3832;Av J. B. Alberdi;3554;FLORESTA;-34,63591;-58,47592;CABA OESTE;CABA
Hogar;Equipamiento;Abelson;1163;Pilar;3834;Ruta 25;Km 7200;PILAR;-34,52658;-58,87357;PILAR / ESCOBAR / ZARATE / CAMPANA;GBA Norte
Hogar;Equipamiento;Abelson;1163;Flores;3932;Av. Gaona;3145;FLORES;-34,61811;-58,46968;CABA OESTE;CABA
Hogar;Equipamiento;Abelson;1163;Escobar;3587;Rivadavia;646;BELEN DE ESCOBAR;-34,34908;-58,79733;PILAR / ESCOBAR / ZARATE / CAMPANA;GBA Norte
Hogar;Equipamiento;Abelson;1163;Flores;3830;Av. Gaona;3334;FLORES;-34,61942;-58,47205;CABA OESTE;CABA
Hogar;Equipamiento;Abelson;1163;Recoleta;9883;French;2911 y 2913;RECOLETA;-34,58792;-58,40422;CABA SUR;CABA
Hogar;Equipamiento;Abelson;1163;Olivos;3833;Av. Maipú;3343;OLIVOS;-34,5051;-58,49381;VICENTE LOPEZ;GBA Norte
Electro & Tecnología;Electro & Tecnología;Abon Garden;113674;SUCURSAL SANTA FE;123894;PADRE Y DOCTOR SAN JERONIMO;2658;SANTA FE;-31,64467;-60,70757;INTERIOR;INTERIOR
Electro & Tecnología;Electro & Tecnología;Abon Garden;113674;SUCURSAL PARANA;123895;GUALEGUAYCHU ESQUINA NUEVE DE JULIO;;PARANA;-31,7366;-60,53158;INTERIOR;INTERIOR
Cuidado Personal;Peluquerías;AC Studio;6202;Recoleta;15007;Charcas;3327;RECOLETA;-34,59133;-58,41276;CABA SUR;CABA
Compras;Regalos;Acabajo;30;Plaza Oeste Shopping;12734;Juan Manuel de Rosas;658;MORON;-34,70108;-58,64789;MORON / ITUZAINGO / HURLINGHAM / MERLO;GBA Oeste
Compras;Regalos;Acabajo;30;Palermo;15939;Jorge Luis Borges;1795;PALERMO;-34,58746;-58,42819;CABA NORTE;CABA
Compras;Regalos;Acabajo;30;ACABAJO - CATAMARCA;46920;Ayacucho;673;SAN FDO DEL VALLE DE CATAMARCA;-24,79704;-65,43162;INTERIOR;INTERIOR
Compras;Regalos;Acabajo;30;Acabajo - Avellaneda;46450;Las Flores;332;WILDE;-34,70105;-58,31622;LANUS / AVELLANEDA;GBA Sur
Compras;Regalos;Acabajo;30;Paraná;15940;9 de Julio;177;PARANA;-31,73523;-60,52875;INTERIOR;INTERIOR
Compras;Regalos;Acabajo;30;Acabajo- villa del parque;23857;Nazarre Del Parque Shopping;3175;VILLA DEL PARQUE;-34,6019;-58,4943;CABA OESTE;CABA
Compras;Regalos;Acabajo;30;Acabajo- Obera;46574;San Martin;660;OBERA;-27,48651;-55,11995;INTERIOR;INTERIOR
Compras;Regalos;Acabajo;30;Acabajo - Misiones;121943;San Martín;660;OBERA;-27,4865;-55,11995;INTERIOR;INTERIOR
Compras;Regalos;Acabajo;30;Acabajo - La Plata Galeria Geminix;22666;48;542;LA PLATA;-34,91428;-57,95186;INTERIOR;INTERIOR
Compras;Regalos;Acabajo;30;Canning Shopping Las Toscas;10616;Formosa;653;CANNING;-34,85993;-58,53828;LOMAS / ALMTE. BROW / ESTEBAN ECHEVERRIA / EZEIZA;GBA Sur
Compras;Regalos;Acabajo;30;Acabajo - Del Parque Shopping;22664;Nazarre;3175;VILLA DEL PARQUE;-34,60199;-58,49422;CABA OESTE;CABA
Compras;Regalos;Acabajo;30;Acabajo - San Miguel;22665;Avenida Pres. Arturo U. Illia;3770;SAN MIGUEL;-34,53236;-58,70203;SAN MIGUEL - JOSE C PAZ - MALVINAS;GBA Oeste
Compras;Regalos;Acabajo;30;Puerto Madryn;13631;Av. Roca;1818;PUERTO MADRYN;-42,78091;-65,02396;INTERIOR;INTERIOR
Compras;Regalos;Acabajo;30;Córdoba Capital;13628;Av. Independencia;525;CORDOBA;-34,134;-63,39153;INTERIOR;INTERIOR
Compras;Regalos;Acabajo;30;Galería Paseo La Catedral;16389;Palacios;156;SAN CARLOS DE BARILOCHE;0;0;INTERIOR;INTERIOR
Compras;Regalos;Acabajo;30;Devoto Shopping;9102;Quevedo;3365;VILLA DEVOTO;-34,61179;-58,51816;CABA OESTE;CABA
Compras;Regalos;Acabajo;30;Acabajo - San Juan Shopping Center;22663;Av. Jose Ignacio de la Roza;806;SAN JUAN;-31,53819;-68,53796;INTERIOR;INTERIOR
Espectáculos;Teatros;Acaloradas;117880;Teatro regina;128183;AVENIDA SANTA FE;1235;SAN NICOLAS;-34,5955;-58,38698;CABA SUR;CABA
Moda;Indumentaria;Acquarella;6085;Necochea;14674;Calle 64;2946;NECOCHEA;-38,55256;-58,74312;INTERIOR;INTERIOR
Cuidado Personal;Gimnasios;ADN Crossfit;7862;ADN Crossfit;17863;Mario Bravo;1314;PALERMO;-34,5972;-58,41469;CABA NORTE;CABA
Cuidado Personal;Gimnasios;ADN Crossfit;7862;ADN Crossfit;17864;Migueletes;1173;BELGRANO;-34,56668;-58,43699;CABA NORTE;CABA
Moda;Calzados;ADRIANA CALZADOS;116458;ADRIANA CALZADOS;126506;AV SAN MARTIN;46;PLOTTIER;-38,953;-68,2475;INTERIOR;INTERIOR
Gastronomía;Compras Gastronómicas;AFILADOS JAM;116271;Santa Fe;126298;Santiago del Estero;3166;SANTA FE;-31,63624;-60,71136;INTERIOR;INTERIOR
Moda;Indumentaria;Agarrate Catalina;2841;Shopping Soleil;12208;Av. Bernardo de Irigoyen;2647;BOULOGNE;-34,49119;-58,58847;SAN ISIDRO;GBA Norte
Moda;Indumentaria;Agarrate Catalina;2841;La Plata;13470;Calle 49;693;LA PLATA;-34,91608;-57,9524;INTERIOR;INTERIOR
