RUBRO;SUB_RUBRO;MARCA;MARCA_APERNET_ID;SUCURSAL;SUCURSAL_APERNET_ID;CALLE;NRO;LOCALIDAD;LATITUD;LONGITUD;LOCALIDAD_ZONAL;LOCALIDAD_ZONA
Viajes y Turismo;Hoteles;2122 Hotel Art Design - Punta del Este;4266;Punta del Este;10758;Av. Pedragrosa Sierra y San Ciro;;PUNTA DEL ESTE;-34,94095;-54,92798;URUGUAY;MERCOSUR
Electro & Tecnología;Electro & Tecnología;Abon Garden;113674;SUCURSAL PARANA;123895;GUALEGUAYCHU ESQUINA NUEVE DE JULIO;;PARANA;-31,7366;-60,53158;INTERIOR;INTERIOR
Moda;Indumentaria;Agarrate Catalina;2841;Paseo Pilar;12819;Panamericana Km 44, Ramal Pilar;;PILAR;-34,45591;-58,90833;PILAR / ESCOBAR / ZARATE / CAMPANA;GBA Norte
Tienda Online;Moda;Alma Shopping;4474;E-Commerce;11114;www.almashopping.com;;PILAR;-34,45591;-58,90833;PILAR / ESCOBAR / ZARATE / CAMPANA;GBA Norte
Automotor;Neumáticos;Alvarez Neumáticos;4333;Coronel Dorrego;10890;Av. Fuertes y Sarmiento;;CORONEL DORREGO;-38,71944;-61,28546;INTERIOR;INTERIOR
Gastronomía;Restaurantes;AMARRA RESTAURANTE;3444;Rosario;8819;Belgrano esquina Buenos Aires;;ROSARIO;-32,94545;-60,63231;INTERIOR;INTERIOR
Heladerías;Heladerías;Andrea Franceschini;2283;Patio Olmos;10424;San Juan;;CORDOBA;-31,3046;-64,27766;INTERIOR;INTERIOR
Entretenimiento;Parques y Juegos;Aquopolis;37140;Aquopolis - MAR DEL PLATA;47143;Edison y Calle 10;;MAR DEL PLATA;-34,5419;-58,58757;INTERIOR;INTERIOR
Automotor;Otros;AXION;34615;Axion - Gral San Martin;89255;AV. PTE. PERON Y BALBIN;;VILLA LYNCH;-34,57639;-58,54866;SAN MARTIN / 3 DE FEBRERO;GBA Oeste
Automotor;Otros;AXION;34615;EMFACO SA - Barcala Gaona;122027;AV. GAONA Y BARCALA;;ITUZAINGO;-34,63467;-58,66777;MORON / ITUZAINGO / HURLINGHAM / MERLO;GBA Oeste
Entretenimiento;Parques y Juegos;Aventura Center;5437;Trelew;13137;Hipolito Yrigoyen y ruta provincial nº7;;TRELEW;-43,24913;-65,3074;INTERIOR;INTERIOR
